name,time,uplink_message_decoded_payload_packetNum,lat,lng,Rssi
mqtt_consumer,1.6566E+18,0,-5.36442E-06,-1.07288E-05,-87
mqtt_consumer,1.65661E+18,0,-5.36442E-06,-1.07288E-05,-110
mqtt_consumer,1.65661E+18,0,-5.36442E-06,-1.07288E-05,-78
mqtt_consumer,1.65661E+18,0,-5.36442E-06,-1.07288E-05,-114
mqtt_consumer,1.65661E+18,0,-5.36442E-06,-1.07288E-05,-112
mqtt_consumer,1.65661E+18,3,-5.36442E-06,-1.07288E-05,-113
mqtt_consumer,1.65661E+18,6,-5.36442E-06,-1.07288E-05,-82
mqtt_consumer,1.65661E+18,0,-5.36442E-06,-1.07288E-05,-85
mqtt_consumer,1.65661E+18,0,-5.36442E-06,-1.07288E-05,-85
mqtt_consumer,1.65661E+18,0,-5.36442E-06,-1.07288E-05,-85
mqtt_consumer,1.65661E+18,2,-5.36442E-06,-1.07288E-05,-81
mqtt_consumer,1.65661E+18,0,-5.36442E-06,-1.07288E-05,-112
mqtt_consumer,1.65661E+18,0,-5.36442E-06,-1.07288E-05,-84
mqtt_consumer,1.65661E+18,2,-5.36442E-06,-1.07288E-05,-85
mqtt_consumer,1.65661E+18,4,-5.36442E-06,-1.07288E-05,-83
mqtt_consumer,1.65661E+18,5,-5.36442E-06,-1.07288E-05,-87
mqtt_consumer,1.65661E+18,6,-5.36442E-06,-1.07288E-05,-87
mqtt_consumer,1.65661E+18,9,-5.36442E-06,-1.07288E-05,-85
mqtt_consumer,1.65661E+18,11,-5.36442E-06,-1.07288E-05,-83
mqtt_consumer,1.65661E+18,0,-5.36442E-06,-1.07288E-05,-85
mqtt_consumer,1.65661E+18,1,-5.36442E-06,-1.07288E-05,-89
mqtt_consumer,1.65661E+18,2,-5.36442E-06,-1.07288E-05,-87
mqtt_consumer,1.65661E+18,3,-5.36442E-06,-1.07288E-05,-85
mqtt_consumer,1.65661E+18,4,-5.36442E-06,-1.07288E-05,-87
mqtt_consumer,1.65661E+18,6,-5.36442E-06,-1.07288E-05,-89
mqtt_consumer,1.65661E+18,7,-5.36442E-06,-1.07288E-05,-90
mqtt_consumer,1.65661E+18,9,-5.36442E-06,-1.07288E-05,-87
mqtt_consumer,1.65661E+18,12,-5.36442E-06,-1.07288E-05,-99
mqtt_consumer,1.65661E+18,14,-5.36442E-06,-1.07288E-05,-111
mqtt_consumer,1.65661E+18,15,-5.36442E-06,-1.07288E-05,-93
mqtt_consumer,1.65661E+18,18,-5.36442E-06,-1.07288E-05,-108
mqtt_consumer,1.65661E+18,20,-5.36442E-06,-1.07288E-05,-95
mqtt_consumer,1.65661E+18,22,-5.36442E-06,-1.07288E-05,-86
mqtt_consumer,1.65661E+18,23,-5.36442E-06,-1.07288E-05,-114
mqtt_consumer,1.65661E+18,25,-5.36442E-06,-1.07288E-05,-91
mqtt_consumer,1.65661E+18,27,-5.36442E-06,-1.07288E-05,-97
mqtt_consumer,1.65661E+18,29,-5.36442E-06,-1.07288E-05,-109
mqtt_consumer,1.65661E+18,31,-5.36442E-06,-1.07288E-05,-96
mqtt_consumer,1.65661E+18,32,-5.36442E-06,-1.07288E-05,-95
mqtt_consumer,1.65661E+18,33,-5.36442E-06,-1.07288E-05,-97
mqtt_consumer,1.65661E+18,35,-5.36442E-06,-1.07288E-05,-113
mqtt_consumer,1.65661E+18,36,-5.36442E-06,-1.07288E-05,-99
mqtt_consumer,1.65661E+18,38,-5.36442E-06,-1.07288E-05,-105
mqtt_consumer,1.65661E+18,39,-5.36442E-06,-1.07288E-05,-99
mqtt_consumer,1.65661E+18,40,-5.36442E-06,-1.07288E-05,-106
mqtt_consumer,1.65661E+18,45,-5.36442E-06,-1.07288E-05,-114
mqtt_consumer,1.65661E+18,53,-5.36442E-06,-1.07288E-05,-107
mqtt_consumer,1.65661E+18,55,-5.36442E-06,-1.07288E-05,-110
mqtt_consumer,1.65661E+18,59,-5.36442E-06,-1.07288E-05,-114
mqtt_consumer,1.65661E+18,62,-5.36442E-06,-1.07288E-05,-114
mqtt_consumer,1.65661E+18,68,-5.36442E-06,-1.07288E-05,-102
mqtt_consumer,1.65661E+18,72,-5.36442E-06,-1.07288E-05,-109
mqtt_consumer,1.65661E+18,77,-5.36442E-06,-1.07288E-05,-108
mqtt_consumer,1.65661E+18,330,51.52881631,-0.153433094,-106
mqtt_consumer,1.65661E+18,340,51.52866611,-0.152939567,-117
mqtt_consumer,1.65661E+18,360,51.5283657,-0.152617702,-115
mqtt_consumer,1.65661E+18,397,51.52743229,-0.153733501,-111
mqtt_consumer,1.65661E+18,406,51.52691731,-0.153819332,-103
mqtt_consumer,1.65661E+18,419,51.52633795,-0.153990993,-106
mqtt_consumer,1.65661E+18,420,51.52629504,-0.153990993,-103
mqtt_consumer,1.65687E+18,0,-5.36442E-06,-1.07288E-05,-68
mqtt_consumer,1.65687E+18,1,-5.36442E-06,-1.07288E-05,-60
mqtt_consumer,1.65687E+18,3,-5.36442E-06,-1.07288E-05,-63
mqtt_consumer,1.65687E+18,4,-5.36442E-06,-1.07288E-05,-66
mqtt_consumer,1.65687E+18,5,-5.36442E-06,-1.07288E-05,-66
mqtt_consumer,1.65687E+18,7,-5.36442E-06,-1.07288E-05,-65
mqtt_consumer,1.65687E+18,9,-5.36442E-06,-1.07288E-05,-67
mqtt_consumer,1.65687E+18,11,-5.36442E-06,-1.07288E-05,-67
mqtt_consumer,1.65687E+18,13,-5.36442E-06,-1.07288E-05,-66
mqtt_consumer,1.65687E+18,14,-5.36442E-06,-1.07288E-05,-63
mqtt_consumer,1.65687E+18,15,-5.36442E-06,-1.07288E-05,-67
